CD_UF,CD_MUN,Ativo,Ativo Financeiro,Disponivel,Caixa,Bancos,Aplic Financ,Creditos Circul AF,Cred a Receber,Dep Realiz CP,Out Valor Realiz,Ativo N Fin,Realiz CP,Creditos Circul ANF,Fornec Receber,Creditos Parcelados,Diversos Respons,Emprest e Financ,Adiantam Concedidos,Recursos vinculados,Out Cred Circul,Provisao Dev Duvid,Bens e Val Circul,Estoques,Out Bens Val Circul,Prov Perdas Provav CP,Valores Pendentes CP,Desp Antecipadas,Valores Diferidos,Out Val Pend CP,Realizavel LP,Dep Realiz LP,Dep Compuls,Recursos Vincul,Cred Realiz LP,Divida Ativa,Deved Entid Agente,Emprest Financ,Creditos a Receber,Prov Perdas Provav LP,Permanente,Investimentos,Partic Societaria,Out Investimentos,Prov Perdas Provav Perm,Imobilizado,Bens Moveis Imoveis,Titulos Valores,Deprec Amort Ex,Diferido,Desp Diferidas,Amortiz Acumulada,Ativo Real,Ativo Compensado,Resp Titulo Val,Garantias,Convenios Contratos,Out Compensac
11,1,"7,909,847.31","781,731.99","781,731.99",0.00,"781,731.99",0.00,0.00,0.00,0.00,0.00,"7,128,115.32","441,420.30",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"441,420.30","441,420.30",0.00,0.00,0.00,0.00,0.00,0.00,"583,800.11",0.00,0.00,0.00,"583,800.11","583,800.11",0.00,0.00,0.00,0.00,"6,102,894.91","4,915.49","4,915.49",0.00,0.00,"6,097,979.42","6,097,979.42",0.00,0.00,0.00,0.00,0.00,"7,909,847.31",0.00,0.00,0.00,0.00,0.00
11,2,"31,075,963.24","5,669,173.98","4,995,489.57",0.00,"3,294,397.72","1,701,091.85","673,684.41",0.00,0.00,"673,684.41","25,248,755.81","2,361,908.76","266,793.09",0.00,0.00,"266,793.09",0.00,0.00,0.00,0.00,0.00,"2,095,115.67","2,095,115.67",0.00,0.00,0.00,0.00,0.00,0.00,"7,637,148.00",0.00,0.00,0.00,"7,637,148.00","3,632,638.32",0.00,0.00,"4,004,509.68",0.00,"15,249,699.05",0.00,0.00,0.00,0.00,"15,249,699.05","15,223,238.14","26,460.91",0.00,0.00,0.00,0.00,"30,917,929.79","158,033.45","158,033.45",0.00,0.00,0.00
11,3,"5,136,255.27","441,222.49","441,222.49",0.00,"441,222.49",0.00,0.00,0.00,0.00,0.00,"4,384,131.07","112,135.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"112,135.54","112,135.54",0.00,0.00,0.00,0.00,0.00,0.00,"154,545.53",0.00,0.00,0.00,"154,545.53","154,545.53",0.00,0.00,0.00,0.00,"4,117,450.00",0.00,0.00,0.00,0.00,"4,117,450.00","4,116,690.43",759.57,0.00,0.00,0.00,0.00,"4,825,353.56","310,901.71",0.00,0.00,0.00,"310,901.71"
11,4,"46,354,857.38","4,732,516.22","4,703,727.98",0.00,"790,573.85","3,913,154.13","28,788.24",0.00,"7,871.74","20,916.50","37,867,778.33","5,181,199.30",2.97,0.00,0.00,2.97,0.00,0.00,0.00,0.00,0.00,"5,181,196.33","799,500.75","4,381,695.58",0.00,0.00,0.00,0.00,0.00,"3,809,709.93",0.00,0.00,0.00,"3,809,709.93","3,611,452.69",0.00,0.00,"198,257.24",0.00,"28,876,869.10",0.00,0.00,0.00,0.00,"28,876,869.10","28,876,869.10",0.00,0.00,0.00,0.00,0.00,"42,600,294.55","3,754,562.83",0.00,"423,111.27","3,331,451.56",0.00
11,5,"7,981,069.62","327,940.79","327,940.79","8,158.95","319,604.36",177.48,0.00,0.00,0.00,0.00,"7,645,125.20","594,988.99","382,114.31",0.00,0.00,0.00,0.00,0.00,0.00,"382,114.31",0.00,"212,874.68","212,874.68",0.00,0.00,0.00,0.00,0.00,0.00,"1,045,954.10",0.00,0.00,0.00,"1,045,954.10","1,045,954.10",0.00,0.00,0.00,0.00,"6,004,182.11",0.00,0.00,0.00,0.00,"6,004,182.11","6,004,182.11",0.00,0.00,0.00,0.00,0.00,"7,973,065.99","8,003.63","8,003.63",0.00,0.00,0.00
11,6,"8,457,043.72","1,736,565.62","216,174.06",0.00,"216,174.06",0.00,"1,520,391.56",0.00,0.00,"1,520,391.56","3,858,731.41","56,648.48","19,972.59",0.00,0.00,"19,972.59",0.00,0.00,0.00,0.00,0.00,"36,675.89","36,675.89",0.00,0.00,0.00,0.00,0.00,0.00,"1,153,223.13",0.00,0.00,0.00,"1,153,223.13","1,153,223.13",0.00,0.00,0.00,0.00,"2,648,859.80",0.00,0.00,0.00,0.00,"2,648,859.80","2,648,859.80",0.00,0.00,0.00,0.00,0.00,"5,595,297.03","2,861,746.69","2,861,746.69",0.00,0.00,0.00
11,7,"6,250,129.47","1,562,724.70","1,292,085.17",0.00,"1,292,085.17",0.00,"270,639.53",0.00,0.00,"270,639.53","4,370,248.92","11,934.70","11,934.70",0.00,0.00,"11,934.70",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"356,967.62",0.00,0.00,0.00,"356,967.62","356,967.62",0.00,0.00,0.00,0.00,"4,001,346.60",0.00,0.00,0.00,0.00,"4,001,346.60","4,001,346.60",0.00,0.00,0.00,0.00,0.00,"5,932,973.62","317,155.85",0.00,0.00,0.00,"317,155.85"
11,8,"4,810,402.41","721,564.13","668,525.89",0.00,"668,525.89",0.00,"53,038.24",0.00,0.00,"53,038.24","4,088,838.28","2,775.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,775.67","2,775.67",0.00,0.00,0.00,0.00,0.00,0.00,"469,776.06",0.00,0.00,0.00,"469,776.06","469,776.06",0.00,0.00,0.00,0.00,"3,616,286.55",0.00,0.00,0.00,0.00,"3,616,286.55","3,616,286.55",0.00,0.00,0.00,0.00,0.00,"4,810,402.41",0.00,0.00,0.00,0.00,0.00
11,9,"8,460,905.74","1,648,196.30","1,630,590.71",0.00,"1,630,590.71",0.00,"17,605.59",0.00,0.00,"17,605.59","6,812,709.44",20.51,20.51,0.00,0.00,20.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,812,688.93",0.00,0.00,0.00,0.00,"6,812,688.93","6,456,804.81","355,884.12",0.00,0.00,0.00,0.00,"8,460,905.74",0.00,0.00,0.00,0.00,0.00
11,10,"13,253,540.52","1,582,742.15","973,076.04",0.00,"322,744.73","650,331.31","609,666.11","406,399.33",0.00,"203,266.78","11,657,498.34","88,385.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"88,385.88","88,385.88",0.00,0.00,0.00,0.00,0.00,0.00,"4,669,470.62",0.00,0.00,0.00,"4,669,470.62","4,669,470.62",0.00,0.00,0.00,0.00,"6,899,641.84",0.00,0.00,0.00,0.00,"6,899,641.84","6,899,641.84",0.00,0.00,0.00,0.00,0.00,"13,240,240.49","13,300.03","13,300.03",0.00,0.00,0.00
