UG,NOME DO MUNICIPIO SIAFI,UF,MUNICÍPIO/UF,CdUF,CdMun,Dg,ibge UfMuni,ibge UfMuniD,NOME IBGE,Populacao,Nome Caixa
1,GUAJARA-MIRIM,RO,GUAJARA-MIRIM/RO,11,10,6,1110,1100106,Guajará-Mirim/RO,39728,GUAJARA-MIRIM
2,ALTO ALEGRE DOS PARECIS,RO,ALTO ALEGRE DOS PARECIS/RO,11,37,9,1137,1100379,Alto Alegre dos Parecis/RO,13852,ALTO ALEGRE DOS PARECIS
3,PORTO VELHO,RO,PORTO VELHO/RO,11,20,5,1120,1100205,Porto Velho/RO,353961,PORTO VELHO
4,BURITIS,RO,BURITIS/RO,11,45,2,1145,1100452,Buritis/RO,32774,BURITIS
5,JI-PARANA,RO,JI-PARANA/RO,11,12,2,1112,1100122,Ji-Paraná/RO,109573,JI-PARANA
6,CHUPINGUAIA,RO,CHUPINGUAIA/RO,11,92,4,1192,1100924,Chupinguaia/RO,5991,CHUPINGUAIA
7,ARIQUEMES,RO,ARIQUEMES/RO,11,2,3,112,1100023,Ariquemes/RO,79680,ARIQUEMES
8,CUJUBIM,RO,CUJUBIM/RO,11,94,0,1194,1100940,Cujubim/RO,7662,CUJUBIM
9,CACOAL,RO,CACOAL/RO,11,4,9,114,1100049,Cacoal/RO,74758,CACOAL
10,NOVA UNIAO,RO,NOVA UNIAO/RO,11,143,5,11143,1101435,Nova União/RO,8772,NOVA UNIAO
11,PIMENTA BUENO,RO,PIMENTA BUENO/RO,11,18,9,1118,1100189,Pimenta Bueno/RO,31612,PIMENTA BUENO
12,PARECIS,RO,PARECIS/RO,11,145,0,11145,1101450,Parecis/RO,3448,PARECIS
13,VILHENA,RO,VILHENA/RO,11,30,4,1130,1100304,Vilhena/RO,58687,VILHENA
14,PIMENTEIRAS DO OESTE,RO,PIMENTEIRAS DO OESTE/RO,11,146,8,11146,1101468,Pimenteiras do Oeste/RO,2571,PIMENTEIRAS DO OESTE
15,JARU,RO,JARU/RO,11,11,4,1111,1100114,Jaru/RO,54701,JARU
16,PRIMAVERA DE RONDONIA,RO,PRIMAVERA DE RONDONIA/RO,11,147,6,11147,1101476,Primavera de Rondônia/RO,4345,PRIMAVERA DE RONDONIA
