CD_UF,CD_MUN,Passivo,Passivo Financeiro,Depositos,Consignacoes,Depositos Diversos,Obrigac em Circulacao,Restos a pagar Processados,Fornecedores Ex,Fornecedores Ant,Convenios a pagar,Pessoal a pagar Ex,Pesoal a pagar Ant,Precatórios,Encargos Sociais RC,Provisoes Diversas,Obrigacoes Tributarias,Debitos Divers aPG,Restos a Pagar NP,Restos a Liquidar,Credores diversos,Adiantamentos recebidos,Outras Obrig a PG,Passivo Nao Financeiro,Obrigacoes em circ,Diferido,Provisoes,Opc Internas,Opc Externas,Adiantam Div Receb,Precatórios Obrig Circul,Outros Debitos a Pagar,Val Pend Curto Prazo,Valores Pendentes,Exigivel Longo Prazo,Dep Exig Longo P,Obrig ex longo P,LP OPC Internas,LP OPC Externas,Obrig Legais e Trib,LP Obrig a Pagar,Outras Exigibilidades,Result Futuros,Passivo Real,Patrimonio Liquido,Patrim Capital,Reservas,Resultado Acumulado,Passivo Compensado
11,1,"7,909,847.31","604,838.03",0.00,0.00,0.00,"604,838.03","604,838.03","530,933.68","73,904.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,479,514.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,479,514.00",0.00,"3,479,514.00",0.00,0.00,0.00,"3,479,514.00",0.00,0.00,"4,084,352.03","3,825,495.28","3,825,495.28",0.00,0.00,0.00
11,2,"31,075,963.24","7,998,542.00","2,278,458.70","445,157.11","1,833,301.59","5,720,083.30","4,086,885.06","3,146,542.83","194,412.23",0.00,"674,617.04","71,312.96",0.00,0.00,0.00,0.00,0.00,"1,591,347.86","1,591,347.86","41,850.38",0.00,"41,850.38","11,330,394.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,330,394.97",0.00,"11,330,394.97",0.00,0.00,"11,330,394.97",0.00,0.00,0.00,"19,328,936.97","11,588,992.82","11,588,992.82",0.00,0.00,"158,033.45"
11,3,"5,136,255.27","591,946.60","1,632.28",0.00,"1,632.28","590,314.32","83,513.24","83,513.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"506,801.08","506,801.08",0.00,0.00,0.00,"235,098.81","235,098.81",0.00,0.00,"235,098.81",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"827,045.41","3,998,308.15",0.00,0.00,"3,998,308.15","310,901.71"
11,4,"46,354,857.38","4,789,596.56","160,465.66","47,607.80","112,857.86","4,629,130.90","733,778.67","453,490.47","280,288.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,895,352.23","3,895,352.23",0.00,0.00,0.00,"9,884,152.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,884,152.19",0.00,"9,884,152.19",0.00,0.00,0.00,"9,884,152.19",0.00,0.00,"14,673,748.75","27,926,545.80","27,926,545.80",0.00,0.00,"3,754,562.83"
11,5,"7,981,069.62","769,285.48",0.00,0.00,0.00,"769,285.48","303,761.42","184,147.69","119,613.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"465,524.06","465,524.06",0.00,0.00,0.00,"883,366.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"883,366.66",0.00,"883,366.66",0.00,0.00,0.00,"883,366.66",0.00,0.00,"1,652,652.14","6,320,413.85",0.00,0.00,"6,320,413.85","8,003.63"
11,6,"8,457,043.72","2,448,483.81","8,089.06",0.00,"8,089.06","2,440,394.75","603,695.79","356,842.08",100.00,"33,636.00","60,790.36",0.00,0.00,"152,327.35",0.00,0.00,0.00,"1,760,012.44","1,760,012.44","76,686.52","76,686.52",0.00,"3,352,254.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,352,254.24",0.00,"3,352,254.24",0.00,0.00,"3,352,254.24",0.00,0.00,0.00,"5,800,738.05","-205,441.02",0.00,0.00,"-205,441.02","2,861,746.69"
11,7,"6,250,129.47","1,243,301.70","3,000.00",0.00,"3,000.00","1,240,301.70","1,240,301.70","385,896.85","647,707.72","206,697.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,660,730.78",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,660,730.78","1,660,730.78",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,904,032.48","3,028,941.14","3,028,941.14",0.00,0.00,"317,155.85"
11,8,"4,810,402.41","702,284.19",0.00,0.00,0.00,"702,284.19","700,834.19",0.00,"215,243.75","260,957.66","54,444.95","170,187.83",0.00,0.00,0.00,0.00,0.00,"1,450.00","1,450.00",0.00,0.00,0.00,"805,390.90","805,390.90",0.00,0.00,0.00,0.00,0.00,0.00,"805,390.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,507,675.09","3,302,727.32","3,302,727.32",0.00,0.00,0.00
11,9,"8,460,905.74","1,617,717.05","21,081.57",0.00,"21,081.57","1,596,635.48","2,885.53",0.00,"2,885.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,593,749.95","1,593,749.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,617,717.05","6,843,188.69",0.00,0.00,"6,843,188.69",0.00
11,10,"13,253,540.52","2,240,685.99","552,709.14",0.00,"552,709.14","1,687,976.85","1,456,787.27","139,285.55","1,236,154.62",0.00,"78,279.90",0.00,0.00,"3,067.20",0.00,0.00,0.00,"231,189.58","231,189.58",0.00,0.00,0.00,"7,596,340.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,596,340.24",0.00,"7,596,340.24",0.00,0.00,0.00,"7,596,340.24",0.00,0.00,"9,837,026.23","3,403,214.26","3,403,214.26",0.00,0.00,"13,300.03"
11,11,"16,231,700.69","4,891,261.59","46,166.17",0.00,"46,166.17","4,845,095.42","2,594,621.93","1,296,345.09","1,298,276.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,250,473.49","2,250,473.49",0.00,0.00,0.00,"4,187,428.69","4,187,428.69",0.00,0.00,0.00,0.00,0.00,"3,981,615.96","205,812.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,078,690.28","7,153,010.41","7,153,010.41",0.00,0.00,0.00
