uf,nsorteio,totrecursos,tot_os,pop,purb,p_secundario,cod_ibge6,pib_capita_02,op_01_04,reeleito,ENEP2000,ENLP2000,pref_idade_tse,comarca,reeleito_2004,p_cad_pref,rec_transf_correntes,gini_ipea,fiscalizacoes,valor_fiscalizado,winmargin2000,winmargin2000_inclost,incumbent,vereador9600,pmismanagement,elected1,first,lpib02,lpop,pref_masc,party_d1,party_d3,party_d4,party_d5,party_d6,party_d7,party_d8,party_d9,party_d10,party_d11,party_d12,party_d13,party_d14,party_d15,party_d16,party_d17,party_d18,pref_escola,sorteio1,sorteio2,sorteio3,sorteio4,sorteio5,sorteio6,sorteio7,sorteio8,sorteio9,sorteio10,media2,vereador_eleit,mun_novo,exp_prefeito,winmargin,samepartygov98,lrec_trans,lfunc_ativ,lrec_fisc,ncorrupt,valor_corrupt,pcorrupt,ncorrupt_os,dcorrupt_desvio,dcorrupt_licitacao,dcorrupt_superfat,dcorrupt,ncorrupt_desvio,ncorrupt_licitacao,ncorrupt_superfat,corrupt_desvio,corrupt_licitacao,corrupt_superfat,pcorrupt_desvio,pcorrupt_licitacao,pcorrupt_superfat,shcorrupt_desvio,shcorrupt_licitacao,shcorrupt_superfat,dmismanagement,uf_d1,uf_d2,uf_d3,uf_d4,uf_d5,uf_d6,uf_d7,uf_d8,uf_d9,uf_d10,uf_d11,uf_d12,uf_d13,uf_d14,uf_d15,uf_d16,uf_d17,uf_d18,uf_d19,uf_d20,uf_d21,uf_d22,uf_d23,uf_d24,uf_d25,uf_d26,esample2
RO,5,6913597.38,47,18207,.81540066,.24824952,566128,3548.001,0,0,6.9006848,5.4000001,60,1,0,.11111111,8688842.32,.60000002,47,6913597.38,.0309349,.0309349,1,0,.9285714,0,1,-1.0362008,9.8095617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,.00067471323,0,0,.0309349,0,15.977551,6.1675167,15.749001,3,672785.13,.097313322,.063829787,1,1,1,1,1,1,1,65085.102,530900,76800,.0094140721,.076790705,.011108544,.021276595,.021276595,.021276595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RO,7,7135210.78,62,10459,.19820251,.11092521,566130,4203.4219,0,1,5.1732378,4.2631578,34,0,0,.33333334,4871683.695,.56400001,62,7135210.78,.17286336,,0,,1.1111112,0,0,-.86668617,9.2552185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,.0016251354,1,0,.17286336,0,15.398951,5.6419072,15.780552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RO,2,26821074.06,140,40884,.64917815,.25470197,566138,3904.2673,0,1,7.8038502,7.2580638,42,1,0,.13333334,17470971.075,.60000002,140,26821074.06,.31095564,,0,,.80645162,0,0,-.94051498,10.618494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,.0005622821,0,0,.31095564,1,16.676052,6.872128,17.104698,1,0,0,.0071428572,1,0,0,1,1,0,0,0,0,0,0,0,0,.0071428572,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RO,4,14710780.7,89,47382,.7264573,.26721168,566151,4081.2578,0,1,6.4999361,5.7619042,41,1,0,.27272728,20889451.9425,.57499999,89,14710780.7,.39191151,,0,,.19148937,0,0,-.89617985,10.765998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,.00038343557,0,0,.39191151,1,16.854755,6.9791451,16.504091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RO,3,4181534.83,,23874,.27125743,.134546,566155,2192.4736,1,1,5.9465256,5.4000001,47,0,0,.22222222,8794999.545,.53100002,69,4181534.83,.18615529,,0,,,0,0,-1.5175548,10.080545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,.00094537815,1,0,.18615529,0,15.989694,6.1180973,15.246189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RO,8,7080767.01,45,19832,.43091974,.20514147,566157,3128.8896,1,0,6.2164216,5.260869,50,1,0,.27272728,7150344.605,.65399998,45,7080767.01,.14010218,.16741374,1,0,,0,1,-1.161907,9.895052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,.00080274395,0,0,.14010218,0,15.782671,6.4150968,15.772893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
RO,11,5365352.51,55,12627,.45315593,.13794538,566263,3054.4001,0,1,3.8307905,2.7931035,42,0,0,.44444445,8079822.2225,.54799998,55,5365352.51,.48949784,,0,,,0,0,-1.1860019,9.443593,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,.0011026709,1,0,.48949784,0,15.904881,5.971262,15.495473,4,25851.109,.0048181568,.07272727,1,1,0,1,3,1,0,25851.109,0,0,.0048181568,0,0,.054545455,.018181818,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AC,8,7281882.03,60,7935,.44183996,.17570552,576124,2767.6353,0,0,4.3963966,3.521739,47,1,1,.33333334,4379583.99,.63700002,60,7281882.03,.18018243,.18018243,1,0,,1,1,-1.2845918,8.9790382,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,.00164594,1,1,.18018243,0,15.292464,5.7930136,15.8009,2,74400,.010217139,.033333335,0,1,0,1,0,2,0,0,74400,0,0,.010217139,0,0,.033333335,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC,4,1660778.8,46,3490,.61633235,.23280132,576128,2187.9839,0,0,3.3664696,3.24,32,0,1,.44444445,3390276.15,.59600002,46,1660778.8,.17109275,,0,0,.93333334,1,1,-1.5196046,8.1576567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,.0034429992,0,0,.17109275,1,15.036422,5.220356,14.322797,1,124666.63,.075065166,.021739131,1,0,0,1,1,0,0,124666.63,0,0,.075065166,0,0,.021739131,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC,6,7226166.42,52,5826,.27943701,.16930693,576136,2280.9653,0,1,5.1802092,4.7647057,44,1,0,.33333334,3186517.72,.64399999,52,7226166.42,.17538461,,0,,.63999999,1,0,-1.4779863,8.6700859,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,.0029306414,1,0,.17538461,0,14.97444,5.3375382,15.79322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC,5,23026455.62,66,67441,.57785326,.29904646,576143,1929.8177,0,0,6.118381,5.260869,42,1,0,.18181819,20305158.615,.61400002,66,23026455.62,.063252658,.063252658,1,0,1.2368422,0,1,-1.6451595,11.119008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,.00029842649,0,0,.063252658,0,16.826385,6.9097533,16.952154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC,7,3988754.58,46,11028,.67138195,.21742,576148,3265.3628,0,1,6.081789,3.8571427,38,1,0,0,4574407.7625,.56999999,46,3988754.58,.28078702,,0,,1.1428572,0,0,-1.1192143,9.3081932,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,.0014780752,1,0,.28078702,0,15.335988,5.8833222,15.19899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC,2,2555312.53,76,8295,.11874624,.077102125,576158,1894.0967,0,0,4.2107773,4.2631578,37,0,1,.33333334,6577678.242500001,.71100003,48,2555312.53,.34377995,,0,0,.77777779,1,1,-1.663843,9.0234079,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,.0020901067,1,0,.34377995,0,15.699192,5.866468,14.753685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC,3,3661400.42,73,15172,.45999208,.21341614,576161,2200.8018,0,0,7.820796,5.4000001,45,1,0,.22222222,6774739.8925,.54900002,73,3661400.42,.26400959,.26400959,1,1,.81818181,0,1,-1.5137633,9.6272068,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,.0009161238,0,0,.26400959,0,15.728711,6.1779442,15.113357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM,2,2371810.65,66,12150,.43736625,.12422008,586125,1645.2051,0,1,8.8043318,6.2307692,53,1,0,.11111111,6737484.7025,.58099997,68,2371810.65,.17395306,,0,,.93103451,0,0,-1.80472,9.4050846,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,.0016088666,0,0,.17395306,0,15.723197,5.857933,14.679164,4,185329,.078138195,.05882353,1,1,0,1,2,2,0,57309,128020,0,.024162553,.053975642,0,.029411765,.029411765,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM,6,1722023.83,27,13864,.44186383,.14316761,586137,1963.1619,0,0,7.356771,5.4000001,55,1,1,.11111111,7207957.015,.76200002,27,1722023.83,.29241282,,0,0,.66666669,0,1,-1.6280288,9.5370512,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,.0011984021,1,0,.29241282,0,15.790696,5.9295893,14.359011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
